,Center,Author,Header,Created,Type,Full context
3142,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В этой первой редакции, само собой разумеется, не упоминалось об истории растраты Парвуса."
3143,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В свете смерти Ленина Горький переоценил свое отношение к Октябрьской революции и к первым годам большевизма, роль Ленина, его правоту и свои собственные ошибки."
3144,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,Они были особенно сильны после прекращения платежей Парвуса -- между последним его платежом и первым авансом Госиздата.
3145,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Но этот период положил грань между первой и второй частью жизни Горького за границей, когда в его сознании появились реальные мысли о возвращении в Россию."
3146,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Но этот период положил грань между первой и второй частью жизни Горького за границей, когда в его сознании появились реальные мысли о возвращении в Россию."
3147,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Кстати, роман Сергеева-Ценского сперва должен был быть первой частью трилогии, потом, когда трилогия написана не была, был весь перетасован автором и соединен с другим романом и теперь выходил под другим названием как «роман в трех частях»; его первая часть была Горьким признана гениальным произведением, выше всего того, что было написано за последние десять или двадцать лет."
3148,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Кстати, роман Сергеева-Ценского сперва должен был быть первой частью трилогии, потом, когда трилогия написана не была, был весь перетасован автором и соединен с другим романом и теперь выходил под другим названием как «роман в трех частях»; его первая часть была Горьким признана гениальным произведением, выше всего того, что было написано за последние десять или двадцать лет."
3149,третью,Н. Н. Берберова,Железная женщина,1978-1980,роман,"И самое главное, он утаил от Муры то обстоятельство, что полгода тому назад он встретил леди Росслин, молодую светскую красавицу, третью жену старого лорда Росслина, с которой он связал свою судьбу: прошлым летом они вместе были в Австрии, недавно она приезжала к нему в Прагу; она, будучи католичкой, перевела его в свою веру."
3150,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,Он описал эту встречу с Мурой дважды: один раз кратко в своем дневнике и во второй раз в своей книге воспоминаний в 1934 году.
3151,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Спальных вагонов в поезде не было, и им пришлось просидеть всю ночь в тесноте купе первого класса."
3152,семнадцатом,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В те времена, -- сказал Керенский Локкарту о семнадцатом годе, -- только социалисты могли рассчитывать на поддержку народа, но социалисты были совершенно неспособны организовать и вести за собой армию, которая так в те времена была нужна»."
3153,одиннадцатого,Н. Н. Берберова,Железная женщина,1978-1980,роман,В половине одиннадцатого я вышел и медленно пошел по Кертнерштрассе.
3154,четвертую,Н. Н. Берберова,Железная женщина,1978-1980,роман,Ее останавливало одно: четвертую часть дома (с отдельным входом) хозяева хотели непременно оставить за собой.
3155,Четвертое,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Четвертое, предпоследнее письмо о разрешении «Беседы» было написано, очевидно, под влиянием какого-то ложного слуха: в это же время в письмах Горького к Ходасевичу нет ни одного слова об этом радостном событии."
3156,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Без единого намека, без малейшего подчеркивания, не выпадая из тона дружеской беседы в ночных туфлях, она сумела мне сделать ясное дипломатическое представление о том, что ее монархические чувства мне ведомы, что свою ненависть к большевикам она вполне доказала, но -- Максим (сын Горького) вы сами знаете, что такое, он только умеет тратить деньги на глупости, кроме него у Алексея Максимовича много еще людей на плечах, нам нужно не меньше десяти тысяч долларов в год, одни иностранные издательства столько дать не могут, если же Алексей Максимович утратит положение первого писателя советской республики, то они и совсем ничего не дадут, да и сам Алексей Максимович будет несчастен, если каким-нибудь неосторожным поступком испортит свою биографию."
3157,третьего,Н. Н. Берберова,Железная женщина,1978-1980,роман,Часы показывали половину третьего.
3158,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В первый раз он полностью почувствовал его величие, когда Ленин был ранен Дорой Каплан 30 августа 1918 года."
3159,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он делился новостями дня: визы все обещают, «Беседу» все не пускают в Россию, первый и второй номера лежат в подвале издательства «Эпоха», третий печатается, и его негде хранить."
3160,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он делился новостями дня: визы все обещают, «Беседу» все не пускают в Россию, первый и второй номера лежат в подвале издательства «Эпоха», третий печатается, и его негде хранить."
3161,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он делился новостями дня: визы все обещают, «Беседу» все не пускают в Россию, первый и второй номера лежат в подвале издательства «Эпоха», третий печатается, и его негде хранить."
3162,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Еще в 1923 году, через полгода после выхода первого номера, она писала Ходасевичу, стараясь постичь сложности русских и советских законов литературной собственности, даже тогда, когда дело касалось не только материала, помещенного в журнале Горького, но и других изданий: "
3163,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Издатель «Беседы» С.Г. Каплун-Сумский, как и сам Горький, решил не ждать формального разрешения Кремля и выпустил первый номер в мае 1923 года."
3164,Вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Вторая задача была спасти сестру Аллу, вернее, помочь ей."
3165,Первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Первая мысль моя, когда я увидела ее, была постараться, чтобы она не увидела меня."
3166,второе,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Шарады составляются по принципу -- чем непонятней, тем лучше (я иногда им помогаю): мое первое -- сладкий напиток (сироп), мое второе -- животное (лань), мое целое -- способ передвижения (аэроплан)."
3167,первое,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Шарады составляются по принципу -- чем непонятней, тем лучше (я иногда им помогаю): мое первое -- сладкий напиток (сироп), мое второе -- животное (лань), мое целое -- способ передвижения (аэроплан)."
3168,первом,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он рисовал уличные сценки на большом картоне, где человек сорок маленьких уродов жили своей мирной городской жизнью: угол площади, посреди нее -- верхом на верблюде всадник в короне; парикмахер в открытом окне нечаянно, вместе с бородой, срезал клиенту голову; справа идет толпа с флагами и оркестром, состоящим из десяти барабанщиков; вдали строят виселицу; на первом плане три нарядных дамы ведут на цепочках восемь собачек, собаки весело переговариваются между собой."
3169,втором,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Внизу были «детские», т.е. комнаты Максима, Тимоти и Соловья, там жила и Валентина Ходасевич, когда приезжала гостить; на втором этаже жил Горький и была какая-то неуютная, холодная, большая и пустая комната Муры."
3170,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Когда я в первый раз приехала с Ходасевичем в немецкое приморское местечко Херингсдорф, на просторную дачу, виллу «Ирмгард», на берегу Балтийского моря, ее не было, она была в Эстонии, у детей."
3171,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Рассматривая теперь этот период жизни Горького, надо сказать, что годы 1921-1927 (первая поездка в Советский Союз была в 1928 году) были счастливыми годами -- хотя колебания, ехать или не ехать в Россию, и были."
3172,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Дальнейшая судьба его ничем не отличалась от судьбы тысяч других советских чиновников: в 1939 году он служил первым секретарем советского посольства в Берлине, когда был арестован, -- видимо, его оговорил Михаил Кольцов."
3173,третьей,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Затем появились, один за другим, сын от второй жены и два -- от третьей."
3174,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Затем появились, один за другим, сын от второй жены и два -- от третьей."
3175,четвертая,Н. Н. Берберова,Железная женщина,1978-1980,роман,Гнедина в Берлине встретила четвертая жена его отца (с которой он обвенчался накануне смерти) и ее дочь от Парвуса.
3176,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Ладыжников и Крючков очень скоро узнали в торгпредстве, что в Берлине появился сын Парвуса от первой жены, человек лет двадцати пяти, преданный советской власти, служащий в Москве в наркоминделе."
3177,первых,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Ходасевич также напомнил мне, что тогда же Горький пожаловался ему на Зиновьева, одной из первых обид которого, нанесенных им Горькому, был запрос в печати одного из зиновьевских сатрапов о деньгах, полученных Горьким для издания «Новой жизни»: Зиновьев хотел знать, была ли это субсидия Парвуса? "
3178,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,И к новому 1922-му году Иван Павлович преподнес Горькому сюрприз: первый платеж Парвуса его старого долга.
3179,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"И действительно, он опять оказался прав: в письмах Горького после его приезда в Европу, в октябре, возобновляются мольбы о деньгах: из России была им вывезена его коллекция нефрита, и он с первого же дня начал искать европейского или американского коллекционера, чтобы ее продать."
3180,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Со времени разрыва с первой женой, Екатериной Павловной, начинаются его постоянные жалобы в письмах на безденежье, на затруднения с платежами."
3181,вторую,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Тут он предсказывал вторую мировую войну, полемизировал в своем «Колоколе» с президентом Вильсоном, Клемансо, Ллойд-Джорджем по поводу Версальского мира."
3182,первому,Н. Н. Берберова,Железная женщина,1978-1980,роман,"д. и на треть для большевистской партии; стоявшие на платформе Временного правительства журналисты Бурцев и Алексинский громили его, а заодно и Ленина, раскрыв в печати связь Ленина с Ганецким; швейцарские эмигранты считали, что Германия давала транзит из Швейцарии в Скандинавские страны по первому требованию Парвуса; все говорили о субсидиях, которые посылаются из Копенгагена «Правде»."
3183,второго,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Другой сын, Евгений (Лазарь), от второго брака, тоже советский дипломат, но в Берлине, был сослан Сталиным в концлагерь, был возвращен в 1955 году и, по слухам, в конце 1960-х годов был еще жив.) "
3184,первых,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Много лет спустя, в 1930-х годах, один из его двух сыновей, дипломат в Риме, Лев, сделался одним из первых советских невозвращенцев и вместо того, чтобы вернуться в Москву по вызову Сталина, уехал по фальшивому паспорту в США, где в Нью-Йорке в 1960-х годах и умер."
3185,Первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,Первой задачей Парвус считал -- оторвать от России Украину.
3186,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Перед самой войной, весной 1914 года, Парвус почувствовал под ногами твердую почву: он положил в банк свой первый миллион."
3187,Первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Первые два года в Константинополе для Парвуса были трудными, так что Троцкий даже помог ему устройством нескольких его корреспонденций в «Киевской мысли», где в это время писал сам."
3188,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Эта последняя задача удалась куда лучше первой: дело обеим сторонам, хотя и с большим трудом, удалось удержать от огласки."
3189,вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,Одновременно с задачей получить с Парвуса деньги была и вторая -- «не дать в руки буржуа каких-либо козырей».
3190,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Уже в 1905 году мы застаем И.П. Ладыжникова в Берлине, в переговорах с Лениным и Л.Б. Красиным (партийная кличка: Никитич), будущим советским наркомом и первым послом во Франции."
3191,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Они, когда были еще на свободе, издавали вдвоем газету, которая с 30 000 в первые же дни подскочила до 100 000 экземпляров в день, -- этот тираж намного превысил тогдашнюю «Новую жизнь» большевиков."
3192,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Этот последний оказался председателем первого Совета рабочих депутатов, а после ареста Троцкого Парвус занял его место (уже в подпольном Совете), пока и он не был арестован."
3193,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Настоящая (и первая в истории России) всеобщая забастовка пришла в мае и октябре, т.е. после 9 января, и революция 1905 года пришла за ней и подтвердила прогнозы Парвуса и Троцкого."
3194,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Идентифицируясь с ним в их общей интеллектуальной кооперации, Троцкий не мог идентифицироваться в активной жизни, но тем не менее их отношения в первые годы столетия были отношениями ученика и учителя»."
3195,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Его идея мировой войны как первого шага к этому принималась далеко не всеми, и отношения его с некоторыми видными германскими с."
3196,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,В годы перед первой войной Парвусом было написано на двух языках (русском и немецком) около пятидесяти статей и издана дюжина книг по вопросам политической экономии Европы и разрушения хозяйства мировой революцией.
3197,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,Всеобщая забастовка должна была стать первым шагом к окончательному и бесповоротному освобождению европейских стран и России от капитализма.
3198,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Россия должна была стать первой «жертвой», и ее примеру должны были последовать остальные страны."
3199,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"С Горьким до 1928 года, когда тот поехал в первый раз из Италии в Россию, генерал Пешков сохранял самые дружеские отношения."
3200,Вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,Вторая война застала его в чине генерала французской армии.
3201,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он уехал в первый же день войны, сражался в легионе и 9 мая 1915 года, когда он геройски повел свой взвод в атаку, был ранен в руку, которую пришлось ампутировать до самого плеча."
3202,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Сентябрь 1921 года и первая половина октября прошли в хлопотах о бумагах, свадьба откладывалась из-за каких-то чисто формальных трудностей, но возможно, что были и колебания -- и с той, и с другой стороны."
3203,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Получив первые сведения о Муре от Ладыжникова, Горький писал в ответ, как бы между прочим реагируя на сообщенную ему новость: «Что именно и когда писала вам Мария Игнатьевна? "
3204,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В частности, еще в России Горький запродал Ладыжникову свое полное собрание сочинений, и первые тома должны были выйти осенью 1921 года."
3205,вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Была и вторая цель: издавать книги за границей, чтобы ввозить в Россию (с разрешения Главлита), так как в России не было бумаги."
3206,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,Ладыжников начал издательское дело задолго до первой войны с книжной фирмы «Демос» в Швейцарии.
3207,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Но был, кроме этих двух домов, еще и третий -- Ладыжников с женой и дочерью и его издательство «Книга» помещались на Фазаненштрассе, в том же районе."
3208,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,Она находилась в пяти минутах ходьбы от первой.
3209,вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,Эта вторая квартира была нанята Соловьем перед приездом новобрачных из Москвы.
3210,третью,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Она разделила эту сумму на три части: одну дала Мисси, другую -- Лаю и третью оставила себе."
3211,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Два дня Мура искала Горького по Гельсингфорсу и на третий день, не найдя его, выехала обратно."
3212,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Соломон принадлежал к той категории людей, которые приняли Октябрьскую революцию, в первые годы после нее сделали дипломатическую карьеру, но через несколько лет отошли от российских дел и успешно стали жить и работать подданными Англии, Франции или США, иногда порвав с Москвой шумно, с портретом на первой странице газет, как сделал Беседовский в Париже, а иногда инкогнито, переменив фамилию (как сын Ганецкого в Риме) и исчезнув без следа."
3213,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Соломон принадлежал к той категории людей, которые приняли Октябрьскую революцию, в первые годы после нее сделали дипломатическую карьеру, но через несколько лет отошли от российских дел и успешно стали жить и работать подданными Англии, Франции или США, иногда порвав с Москвой шумно, с портретом на первой странице газет, как сделал Беседовский в Париже, а иногда инкогнито, переменив фамилию (как сын Ганецкого в Риме) и исчезнув без следа."
3214,вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В 1931 году вышла его вторая книга: «Ленин и его семья», а в 1934 году он умер."
3215,первых,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Соломон порвал с Москвой в 1923 году, а в 1930 году в Париже выпустил книгу воспоминаний «Среди красных вождей» (она была потом переведена на английский, французский и немецкий языки), став таким образом одним из первых «невозвращенцев»."
3216,первым,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Выхода у нее не было, она бросилась в советское представительство, она знала, что там сидит недавно приехавший из Москвы Г.А. Соломон, друг Л.Б. Красина, который в 1918 году был первым секретарем советского посольства в Берлине, а потом, там же, генеральным консулом."
3217,второго,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Она поняла после этого второго прихода, что и он был ее нитью -- не только новая фамилия и титул должны были реабилитировать ее, но и тот факт, что паспорт гражданки Эстонии открывал ей путь в любую страну."
3218,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Лай (так его звали те, кто еще общался с ним), после первого же разговора с осторожным Р., почувствовал в Муре выход для себя из мизерного существования в провинциальной «дыре»."
3219,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Начиная с войны 1812 года Будберга сто лет были известны в России как военные в высоких чинах и высокопоставленные государственные люди; среди них был министр иностранных дел и член Государственного совета Андрей Яковлевич (1750-1812); эстляндский губернатор и дипломат Богдан Васильевич (при Николае I); а в XX веке трое братьев Будбергов: один -- шталмейстер и главноуправляющий канцелярией его величества по принятию прошений, статс-секретарь и член Государственного совета; второй -- гофмейстер, тайный советник и камергер, состоял при министерстве иностранных дел; и третий был царским послом в Испании."
3220,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Начиная с войны 1812 года Будберга сто лет были известны в России как военные в высоких чинах и высокопоставленные государственные люди; среди них был министр иностранных дел и член Государственного совета Андрей Яковлевич (1750-1812); эстляндский губернатор и дипломат Богдан Васильевич (при Николае I); а в XX веке трое братьев Будбергов: один -- шталмейстер и главноуправляющий канцелярией его величества по принятию прошений, статс-секретарь и член Государственного совета; второй -- гофмейстер, тайный советник и камергер, состоял при министерстве иностранных дел; и третий был царским послом в Испании."
3221,третьей,Н. Н. Берберова,Железная женщина,1978-1980,роман,"И что третьей, в октябре, не будет."
3222,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Дальше все пошло так, как если бы пустой отцепившийся от поезда вагон покатился вдруг сам по рельсам: запрещение видеть детей на третий день сняли, отсылкой обратно в Россию не угрожали, взяли подписку о невыезде и отпустили."
3223,первом,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Она узнала на этом первом допросе, что, когда с неделю тому назад до Таллинна дошло известие, что она собирается приехать, брат и сестра ее покойного мужа Ивана Александровича Бенкендорфа обратились в Эстонский Верховный суд, поддержанные другими родственниками Бенкендорфами, Шиллингами, Шеллингами и фон Шуллерами, с прошением о немедленной высылке ее обратно в Петроград и о запрещении ей свидания с детьми."
3224,первого,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Я. Петерс в своей статье «Воспоминания о работе в ВЧК в первый год революции», в главе 4, «Дело Локкарта», пишет: «Я уже говорил, что Локкарт после своего первого ареста был немедленно освобожден, но вместе с ним была арестована баронесса [! "
3225,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Я. Петерс в своей статье «Воспоминания о работе в ВЧК в первый год революции», в главе 4, «Дело Локкарта», пишет: «Я уже говорил, что Локкарт после своего первого ареста был немедленно освобожден, но вместе с ним была арестована баронесса [! "
3226,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В эти первые месяцы 1921 года на Кронверкском всем стало постепенно ясно, что скоро все обитатели квартиры окажутся в Европе."
3227,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Хлопотала первая жена, Екатерина Павловна, давний друг и большая поклонница Дзержинского (через нее, в свое время, Максим устроился на работу в его учреждение)."
3228,Четвертое,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Четвертое -- «[Д-р Эльдер] передаст вам мои самые теплые приветы, а также мадам Андереивне и Марии Бенкендорф, и всем остальным»."
3229,Третье,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Третье: «Мою любовь шлю мадам Андереивне, товарищу Бенкендорф и всем остальным»."
3230,третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,Но был ли третий вариант? 
3231,Третий,Н. Н. Берберова,Железная женщина,1978-1980,роман,Третий вариант...
3232,Миллионной,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он зашел в КУБУ, которое помещалось в те годы в Мраморном дворце, на Миллионной, попал на заседание комиссии по усовершенствованию быта ученых и услыхал, что русским академикам нужны сало и мука, без которых они вымрут в наступающую зиму."
3233,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"И от всей статьи Уэллса, от первой до последней строки, несет ограниченной, недопустимой самонадеянностью»."
3234,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Он заговорил с ней об этих странных, незнакомых ему до того, минутах беспричинной подавленности, которые, когда он остается один, просачивались или втирались в его воспоминания, незначительные сами по себе и потерявшие свои яркие краски, но милые ему, -- о старом Петербурге, -- которые здесь, в первые дни, ожили в нем."
3235,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"К концу второй недели своего пребывания в Петрограде Уэллс внезапно почувствовал себя подавленным, не столько от разговоров и встреч, сколько от самого города."
3236,первый,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Я уверен, что впоследствии, когда мы станем снова более человечными, Англия будет гордиться тем, что первый голос протеста, да еще такого энергичного протеста против жестокостей войны раздался в Англии, и все честные и интеллигентные люди будут с благодарностью произносить Ваше имя."
3237,первой,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В 1908 году Горький хотел переписать «Фауста», Уэллс во время первой мировой войны собирался переписать всю мировую историю, дать ей новую интерпретацию -- с самого ее зарождения до современности, ведущей мир к концу и культуру -- к гибели."
3238,вторая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"В прошлом у Горького и Уэллса были две встречи: одна в доме редактора «Вильтшайр Магазин», в США, и вторая -- в Лондоне, куда Горький приехал в 1907 году на V съезд РСДРП, и они оба оказались гостями на одном светском вечере."
3239,первые,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Джип, которому было неполных двадцать лет, учился русскому языку и знал язык: совсем недавно Уэллс уговорил одну английскую среднюю школу в Ондл начать русские классы, первые в Англии, и послал Джипа учиться именно туда."
3240,второй,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Они оба читали друг друга в переводах; их переписка, особенно после второй встречи, в Лондоне в 1907 году, была дружеской и не прерывалась, хотя и не была слишком частой."
3241,первая,Н. Н. Берберова,Железная женщина,1978-1980,роман,"Знаменитый английский писатель сообщал, что он «приедет посмотреть Россию»: он приветствовал революцию февральскую, и приветствовал революцию октябрьскую, и на весь мир объявил свой восторг, и печатно, и в письмах, по поводу подписания Брестского мира -- Россия оказалась всех умней: она первая вышла из этой бойни."
