"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ов ,гозор юозоргу с атевос то";"йоротв";"от совета с угрозою розог, во ";"второй";" -- ";"розгами, в третьей -- исключением.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Воровство, как мы видели, наказывается в первой степени -- выговором от совета с угрозою розог, во второй -- розгами, в третьей -- исключением."
" ирп тежом овтсьлачан еоксечизанмиг еоджак уловзиорп";"мовреп";"произволу каждое гимназическое начальство может при ";"первом";" ";"удобном случае выдрать его, а потом";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Правила» начертаны для того, чтобы развить в воспитанниках чувство законности и справедливости определением точных, положительных и одинаких правил о проступках и наказаниях; а между тем произволу начальства везде оставлен самый широкий простор, и именно за проявление личности воспитанника, за его нежелание подчиняться произволу каждое гимназическое начальство может при первом удобном случае выдрать его, а потом выгнать без дальних слов."
" окьлот ьсалатсо аморгзар огешав елсоп хи";"яатясед";"их после вашего разгрома осталась только ";"десятая";" ";"доля) неминуемо будет проявляться и дерзость";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Стало быть, сколько вы воспитанников ни сажайте под арест, сколько ни секите, сколько ни исключайте, -- но пока у вас остаются воспитатели капризные и вызывающие на грубость -- до тех пор в остальных воспитанниках (хотя бы их после вашего разгрома осталась только десятая доля) неминуемо будет проявляться и дерзость, и оскорбление начальства, и произвол."
" в ,гозор юозоргу с моровогыв -- йоротв";"йеьтерт";"второй -- выговором с угрозою розог, в ";"третьей";" -- ";"розгами!..";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"наказывается: в первой степени -- выговором, во второй -- выговором с угрозою розог, в третьей -- розгами!.."
" ов ,моровогыв -- инепетс йовреп в :ястеавызакан";"йоротв";"наказывается: в первой степени -- выговором, во ";"второй";" -- ";"выговором с угрозою розог, в третьей";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"наказывается: в первой степени -- выговором, во второй -- выговором с угрозою розог, в третьей -- розгами!.."
" в :ястеавызакан";"йовреп";"наказывается: в ";"первой";" ";"степени -- выговором, во второй -- выговором с";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"наказывается: в первой степени -- выговором, во второй -- выговором с угрозою розог, в третьей -- розгами!.."
" в -- ынеледерпо игзор метаЗ";"йеьтерт";"Затем розги определены -- в ";"третьей";" ";"степени -- «за оскорбление посторонних и принадлежащих";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Затем розги определены -- в третьей степени -- «за оскорбление посторонних и принадлежащих к заведению лиц вне их службы (то есть начальников, надзирателей, чиновников и прислуги) -- словом, письмом и делом, -- за оскорбление товарищей словом, письмом и делом»; во второй степени «за оскорбление начальствующих лиц во время исправления ими служебных обязанностей -- словом, письмом и делом»."
" ов ;»молед и момьсип ,моволс йещиравот";"йоротв";"товарищей словом, письмом и делом»; во ";"второй";" ";"степени «за оскорбление начальствующих лиц во";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Затем розги определены -- в третьей степени -- «за оскорбление посторонних и принадлежащих к заведению лиц вне их службы (то есть начальников, надзирателей, чиновников и прислуги) -- словом, письмом и делом, -- за оскорбление товарищей словом, письмом и делом»; во второй степени «за оскорбление начальствующих лиц во время исправления ими служебных обязанностей -- словом, письмом и делом»."
" ов";"йоротв";"во ";"второй";" ";"степени.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"во второй степени."
" виторп ьтиропс ,онченок ,онжоМ";"йоротв";"Можно, конечно, спорить против ";"второй";" ";"посылки, можно спросить: отчего же развитие";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Можно, конечно, спорить против второй посылки, можно спросить: отчего же развитие чувства законности дает привилегию на розгу? "
"";"яаротВ";"";"Вторая";" ";"посылка.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Вторая посылка."
" хяинеджерчу хынбечу хишан в алачан огонвитартсинимда";"мывреп";"административного начала в наших учебных учреждениях ";"первым";" ";"шагом к улучшению нравственной стороны воспитания";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"При господстве административного начала в наших учебных учреждениях первым шагом к улучшению нравственной стороны воспитания может служить только развитие чувства законности и справедливости между учащимися» («Журнал для воспитания», стр."
"";"яавреП";"";"Первая";" ";"посылка.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Первая посылка."
" ястеавичнако мыроток ,еинечюлказ еещюуделс теавилванатсо итсачто";"яавреп";"отчасти останавливает следующее заключение, которым оканчивается ";"первая";" ";"часть «Правил» г.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Мы более были бы наклонны к последнему; но нас отчасти останавливает следующее заключение, которым оканчивается первая часть «Правил» г."
" в ,6 -- йогурд в ,3 йондо";"йеьтерт";"одной 3, в другой -- 6, в ";"третьей";" -- ";"8 человек.";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Другое дело -- 1-я Киевская гимназия, Ровенская и Новгородсеверская: там в целый год случилось высечь -- в одной 3, в другой -- 6, в третьей -- 8 человек."
" еинечет в отч ,мет и еще";"йоротв";"еще и тем, что в течение ";"второй";" ";"его половины (с августа) Киевский учебный";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"замечателен в этом случае еще и тем, что в течение второй его половины (с августа) Киевский учебный округ находился под попечительством г."
" ан ястеагырпу ;тедевс ен от-воцнок";"хывреп";"концов-то не сведет; упрыгается на ";"первых";" ";"же порах, угомонится, и пойдет все";"Н. А. Добролюбов. Всероссийские иллюзии, разрушаемые розгами (1860)";"Н. А. Добролюбов";"1836";"Всероссийские иллюзии, разрушаемые розгами";"1860";"публицистика";"письмо личное";"политика и общественная жизнь | частная жизнь | путешествия | искусство и культура";"Собрание сочинений в трех томах. Том третий. Статьи и рецензии 1860 ― 1861. Из «Свистка». Из лирики";"1987";"книга";"омонимия не снята";"Стало быть, с которой стороны ни возьми дело -- волноваться не стоит, а следует только, подобно старому подьячему при назначении нового, неумелого начальника, сказать совершенно спокойно: «Приняться-то наш герой хочет как будто и прытко, да концов-то не сведет; упрыгается на первых же порах, угомонится, и пойдет все опять по-старому...» "
" В";"еывреп";"В ";"первые";" ";"годы своей московской жизни Есенин вел";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"В первые годы своей московской жизни Есенин вел довольно простой образ жизни."
" отч ,ястинмоп енМ";"еовреп";"Мне помнится, что ";"первое";" ";"его стихотворение было напечатано в петербургском";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Мне помнится, что первое его стихотворение было напечатано в петербургском детском журнале «Проталинка»."
" ан -- удог 3191 в олшозиорп отЭ";"мотацданмесов";"Это произошло в 1913 году -- на ";"восемнадцатом";" ";"году его жизни.";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Это произошло в 1913 году -- на восемнадцатом году его жизни."
" аН";"йоротв";"На ";"второй";" ";"день Казанской Оку переплыли 	Рабы божии";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"На второй день Казанской Оку переплыли 	Рабы божии -- Костя, Сережа и Коля."
"";"еывреП";"";"Первые";" ";"строчки неплохо рифмовались так: ";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Первые строчки неплохо рифмовались так: "
"";"мыротВ";"";"Вторым";" ";"был Сережа, а я кое-как плыл";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Вторым был Сережа, а я кое-как плыл с малой скоростью."
" ым илишеР";"имывреп";"Решили мы ";"первыми";" ";"переплыть реку.";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Решили мы первыми переплыть реку."
" ов иман с лавечон и отсач";"моротв";"часто и ночевал с нами во ";"втором";", ";"новом, доме дедушки.";"H. A. Сардановский. На заре туманной юности (1965)";"H. A. Сардановский";"1893";"На заре туманной юности";"1965";"публицистика";"мемуары";"частная жизнь | искусство и культура";"«С. А. Есенин в воспоминаниях современников». В 2-х т. Т. l";"1986";"книга";"омонимия не снята";"Летом он часто и ночевал с нами во втором, новом, доме дедушки."
" в а ,лед хыннартсони автсретсиниМ имакинвонич";"йовреп";"чиновниками Министерства иностранных дел, а в ";"первой";" ";"встретит сам вице-канцлер и, пройдя во";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"У кареты встречен будет двумя чиновниками Министерства иностранных дел, а в первой встретит сам вице-канцлер и, пройдя во внутренние комнаты, там принц будет угощаем кофеем, конфектами и шербетом, потом встает и в прежнем экипаже едет в Монплезир, где стоящий в почетном карауле эскадрон Лейб-гвардии драгунского полка со штандартом и хором трубачей отдает ему честь; у кареты принца встретит комендант Петергофский."
" -- йоннорТ идерсоп ,нолкоп йывреп теалед ,япутсв";"йоротв";"вступя, делает первый поклон, посреди Тронной -- ";"второй";", ";"где остановятся его чиновники, а подойдя";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол, вступя, делает первый поклон, посреди Тронной -- второй, где остановятся его чиновники, а подойдя на некоторое расстояние от Трона, Делает третий поклон и тут произнесет речь по-персидски, которую переводчик прочтет по-русски, вице-канцлер же Именем Государыни Императрицы ответствует, а переводчик сей ответ прочитает по-персидски."
" теалеД ,анорТ то еиняотссар еоротокен ан";"йитерт";"на некоторое расстояние от Трона, Делает ";"третий";" ";"поклон и тут произнесет речь по-персидски";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол, вступя, делает первый поклон, посреди Тронной -- второй, где остановятся его чиновники, а подойдя на некоторое расстояние от Трона, Делает третий поклон и тут произнесет речь по-персидски, которую переводчик прочтет по-русски, вице-канцлер же Именем Государыни Императрицы ответствует, а переводчик сей ответ прочитает по-персидски."
" теалед ,япутсв ,лосоП";"йывреп";"Посол, вступя, делает ";"первый";" ";"поклон, посреди Тронной -- второй, где остановятся";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол, вступя, делает первый поклон, посреди Тронной -- второй, где остановятся его чиновники, а подойдя на некоторое расстояние от Трона, Делает третий поклон и тут произнесет речь по-персидски, которую переводчик прочтет по-русски, вице-канцлер же Именем Государыни Императрицы ответствует, а переводчик сей ответ прочитает по-персидски."
" -- ыремак идерсоп ,нолкоп йывреп теаледс ,уремак";"йоротв";"камеру, сделает первый поклон, посреди камеры -- ";"второй";", ";"где особы персидские должны остановиться во";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол же, вступя в аудиенц-камеру, сделает первый поклон, посреди камеры -- второй, где особы персидские должны остановиться во все время аудиенции; потом, приступя на некоторое расстояние к Его Императорскому Величеству, сделать третий поклон и, остановясь, говорить речь по-персидски, с которой перевод читает на российский язык назначенный к тому чиновник."
" ьталедс ,увтсечилеВ умоксротарепмИ огЕ к еиняотссар";"йитерт";"расстояние к Его Императорскому Величеству, сделать ";"третий";" ";"поклон и, остановясь, говорить речь по-персидски";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол же, вступя в аудиенц-камеру, сделает первый поклон, посреди камеры -- второй, где особы персидские должны остановиться во все время аудиенции; потом, приступя на некоторое расстояние к Его Императорскому Величеству, сделать третий поклон и, остановясь, говорить речь по-персидски, с которой перевод читает на российский язык назначенный к тому чиновник."
" теаледс ,уремак-цнеидуа в япутсв ,еж";"йывреп";"же, вступя в аудиенц-камеру, сделает ";"первый";" ";"поклон, посреди камеры -- второй, где особы";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Посол же, вступя в аудиенц-камеру, сделает первый поклон, посреди камеры -- второй, где особы персидские должны остановиться во все время аудиенции; потом, приступя на некоторое расстояние к Его Императорскому Величеству, сделать третий поклон и, остановясь, говорить речь по-персидски, с которой перевод читает на российский язык назначенный к тому чиновник."
" в и елаз йонромарМ йошьлоб в";"мовреп";"в большой Мраморной зале и в ";"первом";" ";"аванзале будет находиться купечество, которое туда";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"В Белой галлерее будут находиться армейские штаб и обер-офицеры и все прочие особы, имеющие приезд ко двору; а в большой Мраморной зале и в первом аванзале будет находиться купечество, которое туда впустится по билетам."
" ынич еикснаджарг и ымад есв ,ровД";"хывреп";"Двор, все дамы и гражданские чины ";"первых";" ";"четырех классов.";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Против Императорской Фамилии, на левой стороне залы, будет находиться Дипломатический Корпус в приуготовленном для оного месте; за ним Двор, все дамы и гражданские чины первых четырех классов."
" в а ,ретсйемйиномерец-ребо титертсв екдащолп йенхрев";"йовреп";"верхней площадке встретит обер-церемониймейстер, а в ";"первой";" ";"комнате обер-гофмаршал, кои препроводят посла";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"На верхней площадке встретит обер-церемониймейстер, а в первой комнате обер-гофмаршал, кои препроводят посла в Камеру ожидания назначенную в Концертной зале, в которой встретит посла обер-камергер князь Лобанов и обер-шенк."
" в ьтедис тедуб йороток в ,могуц";"мовреп";"цугом, в которой будет сидеть в ";"первом";" ";"месте посол, а напротив его Предводитель";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Дворцовая карета цугом, в которой будет сидеть в первом месте посол, а напротив его Предводитель; по обеим сторонам кареты пойдут придворные лакеи, с каждой по 2, а 2 камер-пажа верхами близ кареты; российский персидского языка переводчик верхом, да 4 кавалергардских и конногвардейских офицера тоже верхами."
" юулаМ и ткепсорп йиксвеН ,юуводаС юувон";"юунноиллиМ";"новую Садовую, Невский проспект и Малую ";"Миллионную";", ";"на Дворцовую площадь; обратно же по";"П. Я. Ренненкампф. Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург (1829)";"П. Я. Ренненкампф";"";"Выписка из секретного журнала поездки Eго Высочества Хосров-Мирзы в Санкт-Петербург";"1829";"официально-деловая";"отчет";"путешествия";"Российский Архив: История Отечества в свидетельствах и документах XVIII—XX вв.: Альманах. Вып. XII";"2003";"книга";"омонимия не снята";"Проходя чрез Воскресенскую, Литейную, Пантелеймонскую, через висячий мост, мимо Летнего сада в новую Садовую, Невский проспект и Малую Миллионную, на Дворцовую площадь; обратно же по Большой набережной в Воскресенскую."
